"id";"submitdate";"lastpage";"startlanguage";"seed";"startdate";"datestamp";"ipaddr";"G01Q01";"G01Q02";"G01Q03"
"1";"2023-01-16 12:04:56";"3";"en";"328262029";"2023-01-16 12:04:31";"2023-01-16 12:04:56";"84.156.5.20";"7";"8";"9"
"2";"2023-01-16 12:09:38";"3";"en";"210112295";"2023-01-16 12:09:18";"2023-01-16 12:09:38";"84.156.5.20";"3";"4";"4"
"3";"2023-01-16 12:11:12";"3";"en";"1763429745";"2023-01-16 12:11:00";"2023-01-16 12:11:12";"84.156.5.20";"5";"9";"10"
"4";"2023-01-16 12:12:15";"3";"en";"2084816642";"2023-01-16 12:11:36";"2023-01-16 12:12:15";"84.156.5.20";"2";"6";"9"
"5";"2023-01-16 12:23:23";"3";"en";"1285547025";"2023-01-16 12:22:54";"2023-01-16 12:23:23";"84.156.5.20";"4";"10";"9"
"6";"2023-01-16 12:28:29";"3";"en";"1312674516";"2023-01-16 12:28:06";"2023-01-16 12:28:29";"86.56.31.132";"";"";""
"7";"";"1";"en";"402047535";"2023-01-16 12:45:27";"2023-01-16 12:45:36";"84.156.5.20";"";"";""
"8";"2023-01-16 12:47:29";"3";"en";"535162417";"2023-01-16 12:47:00";"2023-01-16 12:47:29";"84.156.5.20";"7";"9";"10"
"9";"2023-01-17 17:56:44";"3";"en";"745568066";"2023-01-17 17:56:15";"2023-01-17 17:56:44";"83.135.8.166";"10";"5";"9"

